"ID #","reportType","photo_date","photo_time","from_device","AuthorName","AuthorEmail","URL","images","location_longitude","location_latitude","geo_administrative_area_level_1","geo_administrative_area_level_2","geo_locality","geo_neighborhood","geo_route","weather_temperature","weather_windSpeed","weather_windBearing","weather_calc_24hr_precip","TideDataObserved","TideDataPredicted","report_created","guessCause","cause-other","whatFlooded","flooded-other","guessDepth","post_comment","report_icon","alternate-location-name","anonymous","storm_damage","road_damage","road_other","road_comments","marinas_damage","float_number","boat_number","marinas_comments","buildings_damage","buildings_street","buildings_comments","hazmat_damage damage-cat","hazmat_comments","beach_damage","beach_comments","structure_damage","structures_comments","response_other"
"136028","Flood Watch","2019-10-27","07:45 am","Can reports - Airtable","","","https://mycoast.org/reports/136028","https://report-images.nyc3.digitaloceanspaces.com/2023/11/02163852/973445beaa8af99548819bf913654ad0c6c078f0.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/11/02163850/735f3c82528cd46a71096497bfe369dbff23a85b.jpg","-73.8317401","40.6499525","NY","Queens County","","Howard Beach","165th Ave","58.9","16.2","111","0.001","https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20191026&edate=20191028&timezone=LST/LDT&datum=MLLW&interval=6","https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20191026&edate=20191028&timezone=LST/LDT&datum=MLLW&interval=hilo","2023-11-02T20:38:49Z","","","","","","","highwater.svg","","","","","","","","","","","","","","","","","","","",""
"134632","Flood Watch","2019-10-16","10:33 pm","Can reports - Airtable","","","https://mycoast.org/reports/134632","https://report-images.nyc3.digitaloceanspaces.com/2023/11/02091751/6c6f62b367dc4b814e0538d2edfb1f16c8471c11.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/11/02091750/2bd7d84023371f80ab5c0e1180e99f1efebbfa59.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/11/02091748/b35bf602ed49a68a3238636d9770ed9ed0383b67.jpg","-73.8310351","40.6587047","NY","Queens County","","Jamaica","102nd St","60.1","27.4","282","1.137","https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20191015&edate=20191017&timezone=LST/LDT&datum=MLLW&interval=6","https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20191015&edate=20191017&timezone=LST/LDT&datum=MLLW&interval=hilo","2023-11-02T13:17:47Z","","","","","","","highwater.svg","","","","","","","","","","","","","","","","","","","",""
"138150","Flood Watch","2019-10-16","10:19 pm","Can reports - Airtable","","","https://mycoast.org/reports/138150","https://report-images.nyc3.digitaloceanspaces.com/2023/11/03033056/698094eb7d605897399af17e25a6d0089220f8df.jpg","-73.8296614","40.6514775","NY","Queens County","","Jamaica","164th Rd","63.1","11.2","115","1.052","https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20191015&edate=20191017&timezone=LST/LDT&datum=MLLW&interval=6","https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20191015&edate=20191017&timezone=LST/LDT&datum=MLLW&interval=hilo","2023-11-03T07:30:56Z","","","","","","","highwater.svg","","","","","","","","","","","","","","","","","","","",""
"136838","Flood Watch","2019-10-16","04:00 pm","Can reports - Survey123","","","https://mycoast.org/reports/136838","https://report-images.nyc3.digitaloceanspaces.com/2023/11/02205423/25ef3c4733c399918fd1be440f5564f0b3c55522.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/11/02205421/b51a13e0fb5b449c4afc0c3adeb1ee22c80d45bd.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/11/02205419/3c6523609026adf2ba8425e2b6cc74796c75bec5.jpg","-73.8310351","40.6587047","NY","Queens County","","Jamaica","102nd St","63.1","18.6","109","0.046","https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20191015&edate=20191017&timezone=LST/LDT&datum=MLLW&interval=6","https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20191015&edate=20191017&timezone=LST/LDT&datum=MLLW&interval=hilo","2023-11-03T00:54:19Z","Overland flooding (Nearby waterbody)","","Roads/streets","","","","highwater.svg","","","","","","","","","","","","","","","","","","","",""
"136924","Flood Watch","2019-10-16","04:00 pm","Can reports - Survey123","","","https://mycoast.org/reports/136924","https://report-images.nyc3.digitaloceanspaces.com/2023/11/02212110/9e4edfd88f4deef1380e33da6cc0989d193a8af5.jpg","-73.8296614","40.6514775","NY","Queens County","","Jamaica","164th Rd","63.1","18.8","109","0.046","https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20191015&edate=20191017&timezone=LST/LDT&datum=MLLW&interval=6","https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20191015&edate=20191017&timezone=LST/LDT&datum=MLLW&interval=hilo","2023-11-03T01:21:09Z","Overland flooding (Nearby waterbody)","","Roads/streets","","","","highwater.svg","","","","","","","","","","","","","","","","","","","",""
"135351","Flood Watch","2019-10-12","08:30 pm","Can reports - Airtable","","","https://mycoast.org/reports/135351","https://report-images.nyc3.digitaloceanspaces.com/2023/11/02131808/23339d87798b73e4a9570e29e6533fa9dae4f96b.jpg","-73.8199653","40.597841","NY","Queens County","","Far Rockaway","Demerest Rd","62.5","10.5","242","0","https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20191011&edate=20191013&timezone=LST/LDT&datum=MLLW&interval=6","https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20191011&edate=20191013&timezone=LST/LDT&datum=MLLW&interval=hilo","2023-11-02T17:18:07Z","","","","","","","highwater.svg","","","","","","","","","","","","","","","","","","","",""
"136974","Flood Watch","2019-10-12","04:00 pm","Can reports - Survey123","","","https://mycoast.org/reports/136974","https://report-images.nyc3.digitaloceanspaces.com/2023/11/02213617/62e84f7b7af4d569df55b027d72124f5bf859cd2.jpg","-73.8199653","40.597841","NY","Queens County","","Far Rockaway","Demerest Rd","67.9","4","0","0","https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20191011&edate=20191013&timezone=LST/LDT&datum=MLLW&interval=6","https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20191011&edate=20191013&timezone=LST/LDT&datum=MLLW&interval=hilo","2023-11-03T01:36:16Z","Overland flooding (Nearby waterbody)","","Roads/streets","","","","highwater.svg","","","","","","","","","","","","","","","","","","","",""
"135697","Flood Watch","2019-10-11","09:11 pm","Can reports - Airtable","","","https://mycoast.org/reports/135697","https://report-images.nyc3.digitaloceanspaces.com/2023/11/02150422/8bb30260b6ba8a4bf10ba08ce5f4d12cbc79a37d.jpg","-73.8291616","40.6535512","NY","Queens County","","Old Howard Beach","Davenport Ct","58.3","16.6","31","0","https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20191010&edate=20191012&timezone=LST/LDT&datum=MLLW&interval=6","https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20191010&edate=20191012&timezone=LST/LDT&datum=MLLW&interval=hilo","2023-11-02T19:04:21Z","","","","","","","highwater.svg","","","","","","","","","","","","","","","","","","","",""
"139793","Flood Watch","2019-10-11","09:06 pm","Can reports - Airtable","","","https://mycoast.org/reports/139793","https://report-images.nyc3.digitaloceanspaces.com/2023/11/03115611/3a14597755b5a8473058cc600b456692e45693e9.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/11/03115610/1fe88605cb192230a10716884a0fc5f5af08385e.jpg","-73.8164437","40.6065805","NY","Queens County","","Broad Channel","Lanark Rd","58.2","16.7","31","0","https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20191010&edate=20191012&timezone=LST/LDT&datum=MLLW&interval=6","https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20191010&edate=20191012&timezone=LST/LDT&datum=MLLW&interval=hilo","2023-11-03T15:56:09Z","","","","","","","highwater.svg","","","","","","","","","","","","","","","","","","","",""
"136127","Flood Watch","2019-10-11","08:57 pm","Can reports - Airtable","","","https://mycoast.org/reports/136127","https://report-images.nyc3.digitaloceanspaces.com/2023/11/02171024/b4ceec3a640bd6c9817498c9ebe3bef289fab84a.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/11/02171023/e55e8742d9ee107df25c68298e65ae542fae08c6.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/11/02171021/2fd6e5856e2f2c2310550c06102deb25cf1e5c26.jpg|https://report-images.nyc3.digitaloceanspaces.com/2023/11/02171020/33de14cc3ff2360dc6716f9a7c753fcf2a5556d2.jpg","-73.832239","40.6532531","NY","Queens County","","Jamaica","99th St","58.3","16.5","31","0","https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20191010&edate=20191012&timezone=LST/LDT&datum=MLLW&interval=6","https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20191010&edate=20191012&timezone=LST/LDT&datum=MLLW&interval=hilo","2023-11-02T21:10:19Z","","","","","","","highwater.svg","","","","","","","","","","","","","","","","","","","",""
